codigo,descripcion,unidad,precio,fecha_actualizacion
CHAPA_GALV_075,Chapa galvanizada 0.75mm sinusoidal,m2,8500.00,2026-04-23
CHAPA_GALV_090,Chapa galvanizada 0.90mm sinusoidal,m2,10500.00,2026-04-23
CHAPA_ZINC_075,Chapa de zinc 0.75mm,m2,9800.00,2026-04-23
CHAPA_COLOR_075,Chapa prepintada color 0.75mm,m2,11200.00,2026-04-23
PERFIL_C60,Perfil C 60x40x2mm,ml,3200.00,2026-04-23
PERFIL_C100,Perfil C 100x50x2mm,ml,4800.00,2026-04-23
PERFIL_C160,Perfil C 160x60x3mm,ml,8200.00,2026-04-23
TORNILLO_AUTOP,Tornillo autoperforante chapa,u,45.00,2026-04-23
SELLADOR_POLIUR,Sellador poliuretánico cartucho,u,6500.00,2026-04-23
LADRILLO_COMUN,Ladrillo común,u,180.00,2026-04-23
LADRILLO_HUECO_12,Ladrillo hueco 12cm,u,520.00,2026-04-23
LADRILLO_HUECO_18,Ladrillo hueco 18cm,u,780.00,2026-04-23
CEMENTO_PORTLAND,Cemento portland bolsa 50kg,u,12500.00,2026-04-23
CAL_HIDRAULICA,Cal hidráulica bolsa 25kg,u,4200.00,2026-04-23
ARENA_GRUESA,Arena gruesa m3,m3,38000.00,2026-04-23
ARENA_FINA,Arena fina m3,m3,42000.00,2026-04-23
HIERRO_8,Hierro nervado 8mm barra 12m,u,9500.00,2026-04-23
HIERRO_10,Hierro nervado 10mm barra 12m,u,14800.00,2026-04-23
HIERRO_12,Hierro nervado 12mm barra 12m,u,21200.00,2026-04-23
PIEDRA_6_12,Piedra partida 6-12mm m3,m3,45000.00,2026-04-23
